VACCINATION_DATE,AgeRange,FirstDailyDose,FirstDailyDoseCumulative,SecondDailyDose,SecondDailyDoseCumulative,SingleDailyDose,SingleDailyDoseCumulative,CombinedTotalDoses,CombinedTotalDosesCumulative,FullyVaccinated,FullyVaccinatedCumulative
12/25/20 15:00,age30to39,79,5951,,23,,0,,5974,,23
12/25/20 15:00,age40to49,127,5399,,18,,0,,5417,,18
12/25/20 15:00,age50to59,223,5267,,33,,0,,5300,,33
12/25/20 15:00,age60to69,188,3676,1,22,,0,,3698,,22
12/25/20 15:00,age70to79,78,860,,10,,0,,870,,10
12/25/20 15:00,age80plus,240,1085,,3,,0,,1088,,3
12/26/20 15:00,age10to19,10,106,,0,,0,,106,,0
12/26/20 15:00,age20to29,141,3265,1,13,,0,,3278,,13
12/26/20 15:00,age30to39,244,6195,1,24,,0,,6219,,24
12/26/20 15:00,age40to49,271,5670,,18,,0,,5688,,18
12/26/20 15:00,age50to59,389,5656,1,34,,0,,5690,,34
12/26/20 15:00,age60to69,314,3990,,22,,0,,4012,,22
12/26/20 15:00,age70to79,154,1014,1,11,,0,,1025,,11
12/26/20 15:00,age80plus,171,1256,,3,,0,,1259,,3
12/27/20 15:00,age10to19,4,110,,0,,0,,110,,0
12/27/20 15:00,age20to29,143,3408,2,15,,0,,3423,,15
12/27/20 15:00,age30to39,285,6480,1,25,,0,,6505,,25
12/27/20 15:00,age40to49,314,5984,1,19,,0,,6003,,19
12/27/20 15:00,age50to59,340,5996,1,35,,0,,6031,,35
12/27/20 15:00,age60to69,309,4299,1,23,,0,,4322,,23
12/27/20 15:00,age70to79,150,1164,,11,,0,,1175,,11
12/27/20 15:00,age80plus,231,1487,,3,,0,,1490,,3
12/28/20 15:00,age10to19,12,122,,0,,0,,122,,0
12/28/20 15:00,age20to29,1164,4572,5,20,,0,,4592,,20
12/28/20 15:00,age30to39,1960,8440,6,31,,0,,8471,,31
12/28/20 15:00,age40to49,1737,7721,2,21,,0,,7742,,21
12/28/20 15:00,age50to59,1847,7843,1,36,,0,,7879,,36
12/28/20 15:00,age60to69,1327,5626,1,24,,0,,5650,,24
12/28/20 15:00,age70to79,354,1518,1,12,,0,,1530,,12
12/28/20 15:00,age80plus,275,1762,1,4,,0,,1766,,4
12/29/20 15:00,age10to19,29,151,,0,,0,,151,,0
12/29/20 15:00,age20to29,1344,5916,,20,,0,,5936,,20
12/29/20 15:00,age30to39,2171,10611,4,35,,0,,10646,,35
12/29/20 15:00,age40to49,2060,9781,4,25,,0,,9806,,25
12/29/20 15:00,age50to59,2303,10146,2,38,,0,,10184,,38
12/29/20 15:00,age60to69,1775,7401,2,26,,0,,7427,,26
12/29/20 15:00,age70to79,609,2127,1,13,,0,,2140,,13
12/29/20 15:00,age80plus,379,2141,,4,,0,,2145,,4
12/30/20 15:00,age10to19,63,214,,0,,0,,214,,0
12/30/20 15:00,age20to29,1780,7696,7,27,,0,,7723,,27
12/30/20 15:00,age30to39,2669,13280,5,40,,0,,13320,,40
12/30/20 15:00,age40to49,2561,12342,5,30,,0,,12372,,30
12/30/20 15:00,age50to59,2735,12881,10,48,,0,,12929,,48
12/30/20 15:00,age60to69,1878,9279,4,30,,0,,9309,,30
12/30/20 15:00,age70to79,477,2604,2,15,,0,,2619,,15
12/30/20 15:00,age80plus,197,2338,,4,,0,,2342,,4
12/31/20 15:00,age10to19,55,269,,0,,0,,269,,0
12/31/20 15:00,age20to29,1104,8800,1,28,,0,,8828,,28
12/31/20 15:00,age30to39,1628,14908,1,41,,0,,14949,,41
12/31/20 15:00,age40to49,1503,13845,4,34,,0,,13879,,34
12/31/20 15:00,age50to59,1575,14456,2,50,,0,,14506,,50
12/31/20 15:00,age60to69,1192,10471,5,35,,0,,10506,,35
12/31/20 15:00,age70to79,323,2927,1,16,,0,,2943,,16
12/31/20 15:00,age80plus,77,2415,,4,,0,,2419,,4
1/1/21 15:00,age10to19,8,277,,0,,0,,277,,0
1/1/21 15:00,age20to29,127,8927,7,35,,0,,8962,,35
1/1/21 15:00,age30to39,210,15118,11,52,,0,,15170,,52
1/1/21 15:00,age40to49,276,14121,8,42,,0,,14163,,42
1/1/21 15:00,age50to59,320,14776,14,64,,0,,14840,,64
1/1/21 15:00,age60to69,310,10781,7,42,,0,,10823,,42
1/1/21 15:00,age70to79,232,3159,2,18,,0,,3177,,18
1/1/21 15:00,age80plus,414,2829,2,6,,0,,2835,,6
1/2/21 15:00,age10to19,10,287,,0,,0,,287,,0
1/2/21 15:00,age20to29,433,9360,6,41,,0,,9401,,41
1/2/21 15:00,age30to39,491,15609,8,60,,0,,15669,,60
1/2/21 15:00,age40to49,407,14528,5,47,,0,,14575,,47
1/2/21 15:00,age50to59,427,15203,2,66,,0,,15269,,66
1/2/21 15:00,age60to69,416,11197,5,47,,0,,11244,,47
1/2/21 15:00,age70to79,204,3363,,18,,0,,3381,,18
1/2/21 15:00,age80plus,342,3171,1,7,,0,,3178,,7
1/3/21 15:00,age10to19,12,299,,0,,0,,299,,0
1/3/21 15:00,age20to29,493,9853,18,59,,0,,9912,,59
1/3/21 15:00,age30to39,515,16124,29,89,,0,,16213,,89
1/3/21 15:00,age40to49,512,15040,8,55,,0,,15095,,55
1/3/21 15:00,age50to59,635,15838,11,77,,0,,15915,,77
1/3/21 15:00,age60to69,507,11704,4,51,,0,,11755,,51
1/3/21 15:00,age70to79,259,3622,2,20,,0,,3642,,20
1/3/21 15:00,age80plus,278,3449,,7,,0,,3456,,7
1/4/21 15:00,age10to19,86,385,2,2,,0,,387,,2
1/4/21 15:00,age20to29,1703,11556,58,117,,0,,11673,,117
1/4/21 15:00,age30to39,2384,18508,76,165,,0,,18673,,165
1/4/21 15:00,age40to49,2432,17472,56,111,,0,,17583,,111
1/4/21 15:00,age50to59,2722,18560,46,123,,0,,18683,,123
1/4/21 15:00,age60to69,2188,13892,32,83,,0,,13975,,83
1/4/21 15:00,age70to79,748,4370,4,24,,0,,4394,,24
1/4/21 15:00,age80plus,711,4160,1,8,,0,,4168,,8
1/5/21 15:00,age10to19,59,444,,2,,0,,446,,2
1/5/21 15:00,age20to29,1509,13065,75,192,,0,,13257,,192
1/5/21 15:00,age30to39,2253,20761,113,278,,0,,21039,,278
1/5/21 15:00,age40to49,2224,19696,112,223,,0,,19919,,223
1/5/21 15:00,age50to59,2539,21099,96,219,,0,,21318,,219
1/5/21 15:00,age60to69,1934,15826,51,134,,0,,15960,,134
1/5/21 15:00,age70to79,781,5151,11,35,,0,,5186,,35
1/5/21 15:00,age80plus,764,4924,5,13,,0,,4937,,13
1/6/21 15:00,age10to19,74,518,,2,,0,,520,,2
1/6/21 15:00,age20to29,1761,14826,143,335,,0,,15161,,335
1/6/21 15:00,age30to39,2778,23539,237,515,,0,,24054,,515
1/6/21 15:00,age40to49,2841,22537,178,401,,0,,22938,,401
1/6/21 15:00,age50to59,3309,24408,135,354,,0,,24762,,354
1/6/21 15:00,age60to69,2403,18229,96,230,,0,,18459,,230
1/6/21 15:00,age70to79,969,6120,8,43,,0,,6163,,43
1/6/21 15:00,age80plus,710,5634,,13,,0,,5647,,13
1/7/21 15:00,age10to19,84,602,1,3,,0,,605,,3
1/7/21 15:00,age20to29,1962,16788,210,545,,0,,17333,,545
1/7/21 15:00,age30to39,2991,26530,479,994,,0,,27524,,994
1/7/21 15:00,age40to49,2891,25428,393,794,,0,,26222,,794
1/7/21 15:00,age50to59,3236,27644,321,675,,0,,28319,,675
1/7/21 15:00,age60to69,2352,20581,204,434,,0,,21015,,434
1/7/21 15:00,age70to79,799,6919,29,72,,0,,6991,,72
1/7/21 15:00,age80plus,478,6112,3,16,,0,,6128,,16
1/8/21 15:00,age10to19,145,747,1,4,,0,,751,,4
1/8/21 15:00,age20to29,2098,18886,324,869,,0,,19755,,869
1/8/21 15:00,age30to39,3073,29603,664,1658,,0,,31261,,1658
1/8/21 15:00,age40to49,2943,28371,642,1436,,0,,29807,,1436
1/8/21 15:00,age50to59,3388,31032,543,1218,,0,,32250,,1218
1/8/21 15:00,age60to69,2518,23099,403,837,,0,,23936,,837
1/8/21 15:00,age70to79,1010,7929,58,130,,0,,8059,,130
1/8/21 15:00,age80plus,610,6722,9,25,,0,,6747,,25
1/8/21 15:00,Unknown,8000,8000,,0,,0,,8000,,0
1/9/21 15:00,age10to19,31,778,2,6,,0,,784,,6
1/9/21 15:00,age20to29,670,19556,150,1019,,0,,20575,,1019
1/9/21 15:00,age30to39,883,30486,252,1910,,0,,32396,,1910
1/9/21 15:00,age40to49,844,29215,175,1611,,0,,30826,,1611
1/9/21 15:00,age50to59,993,32025,173,1391,,0,,33416,,1391
1/9/21 15:00,age60to69,713,23812,134,971,,0,,24783,,971
1/9/21 15:00,age70to79,357,8286,17,147,,0,,8433,,147
1/9/21 15:00,age80plus,531,7253,2,27,,0,,7280,,27
1/10/21 15:00,age10to19,30,808,1,7,,0,,815,,7
1/10/21 15:00,age20to29,310,19866,66,1085,,0,,20951,,1085
1/10/21 15:00,age30to39,462,30948,103,2013,,0,,32961,,2013
1/10/21 15:00,age40to49,480,29695,78,1689,,0,,31384,,1689
1/10/21 15:00,age50to59,580,32605,61,1452,,0,,34057,,1452
1/10/21 15:00,age60to69,402,24214,41,1012,,0,,25226,,1012
1/10/21 15:00,age70to79,232,8518,3,150,,0,,8668,,150
1/10/21 15:00,age80plus,335,7588,,27,,0,,7615,,27
1/11/21 15:00,age10to19,93,901,5,12,,0,,913,,12
1/11/21 15:00,age20to29,1563,21429,442,1527,,0,,22956,,1527
1/11/21 15:00,age30to39,2415,33363,915,2928,,0,,36291,,2928
1/11/21 15:00,age40to49,2446,32141,759,2448,,0,,34589,,2448
1/11/21 15:00,age50to59,2698,35303,700,2152,,0,,37455,,2152
1/11/21 15:00,age60to69,2283,26497,402,1414,,0,,27911,,1414
1/11/21 15:00,age70to79,1176,9694,70,220,,0,,9914,,220
1/11/21 15:00,age80plus,863,8451,29,56,,0,,8507,,56
1/12/21 15:00,age10to19,113,1014,25,37,,0,,1051,,37
1/12/21 15:00,age20to29,1905,23334,586,2113,,0,,25447,,2113
1/12/21 15:00,age30to39,3055,36418,1089,4017,,0,,40435,,4017
1/12/21 15:00,age40to49,3018,35159,1066,3514,,0,,38673,,3514
1/12/21 15:00,age50to59,3298,38601,1133,3285,,0,,41886,,3285
1/12/21 15:00,age60to69,2578,29075,799,2213,,0,,31288,,2213
1/12/21 15:00,age70to79,1520,11214,263,483,,0,,11697,,483
1/12/21 15:00,age80plus,1684,10135,464,520,,0,,10655,,520
1/13/21 15:00,age10to19,147,1161,2,39,,0,,1200,,39
1/13/21 15:00,age20to29,2334,25668,420,2533,,0,,28201,,2533
1/13/21 15:00,age30to39,3374,39792,844,4861,,0,,44653,,4861
1/13/21 15:00,age40to49,3532,38691,777,4291,,0,,42982,,4291
1/13/21 15:00,age50to59,3853,42454,786,4071,,0,,46525,,4071
1/13/21 15:00,age60to69,2834,31909,591,2804,,0,,34713,,2804
1/13/21 15:00,age70to79,1444,12658,153,636,,0,,13294,,636
1/13/21 15:00,age80plus,818,10953,198,718,,0,,11671,,718
1/14/21 15:00,age10to19,128,1289,1,40,,0,,1329,,40
1/14/21 15:00,age20to29,2162,27830,262,2795,,0,,30625,,2795
1/14/21 15:00,age30to39,3170,42962,486,5347,,0,,48309,,5347
1/14/21 15:00,age40to49,3287,41978,358,4649,,0,,46627,,4649
1/14/21 15:00,age50to59,3612,46066,370,4441,,0,,50507,,4441
1/14/21 15:00,age60to69,2804,34713,279,3083,,0,,37796,,3083
1/14/21 15:00,age70to79,1545,14203,77,713,,0,,14916,,713
1/14/21 15:00,age80plus,927,11880,29,747,,0,,12627,,747
1/15/21 15:00,age10to19,124,1413,28,68,,0,,1481,,68
1/15/21 15:00,age20to29,2380,30210,179,2974,,0,,33184,,2974
1/15/21 15:00,age30to39,3362,46324,302,5649,,0,,51973,,5649
1/15/21 15:00,age40to49,3516,45494,312,4961,,0,,50455,,4961
1/15/21 15:00,age50to59,3794,49860,422,4863,,0,,54723,,4863
1/15/21 15:00,age60to69,2664,37377,286,3369,,0,,40746,,3369
1/15/21 15:00,age70to79,2000,16203,95,808,,0,,17011,,808
1/15/21 15:00,age80plus,1384,13264,233,980,,0,,14244,,980
1/16/21 15:00,age10to19,22,1435,11,79,,0,,1514,,79
1/16/21 15:00,age20to29,692,30902,143,3117,,0,,34019,,3117
1/16/21 15:00,age30to39,875,47199,258,5907,,0,,53106,,5907
1/16/21 15:00,age40to49,882,46376,229,5190,,0,,51566,,5190
1/16/21 15:00,age50to59,827,50687,293,5156,,0,,55843,,5156
1/16/21 15:00,age60to69,635,38012,258,3627,,0,,41639,,3627
1/16/21 15:00,age70to79,931,17134,150,958,,0,,18092,,958
1/16/21 15:00,age80plus,767,14031,199,1179,,0,,15210,,1179
1/17/21 15:00,age10to19,22,1457,3,82,,0,,1539,,82
1/17/21 15:00,age20to29,260,31162,175,3292,,0,,34454,,3292
1/17/21 15:00,age30to39,320,47519,241,6148,,0,,53667,,6148
1/17/21 15:00,age40to49,290,46666,196,5386,,0,,52052,,5386
1/17/21 15:00,age50to59,377,51064,231,5387,,0,,56451,,5387
1/17/21 15:00,age60to69,357,38369,194,3821,,0,,42190,,3821
1/17/21 15:00,age70to79,260,17394,118,1076,,0,,18470,,1076
1/17/21 15:00,age80plus,274,14305,170,1349,,0,,15654,,1349
1/18/21 15:00,age10to19,39,1496,4,86,,0,,1582,,86
1/18/21 15:00,age20to29,474,31636,251,3543,,0,,35179,,3543
1/18/21 15:00,age30to39,765,48284,476,6624,,0,,54908,,6624
1/18/21 15:00,age40to49,878,47544,547,5933,,0,,53477,,5933
1/18/21 15:00,age50to59,946,52010,630,6017,,0,,58027,,6017
1/18/21 15:00,age60to69,908,39277,492,4313,,0,,43590,,4313
1/18/21 15:00,age70to79,1762,19156,220,1296,,0,,20452,,1296
1/18/21 15:00,age80plus,1423,15728,304,1653,,0,,17381,,1653
1/19/21 15:00,age10to19,67,1563,10,96,,0,,1659,,96
1/19/21 15:00,age20to29,1213,32849,693,4236,,0,,37085,,4236
1/19/21 15:00,age30to39,1721,50005,1087,7711,,0,,57716,,7711
1/19/21 15:00,age40to49,1786,49330,949,6882,,0,,56212,,6882
1/19/21 15:00,age50to59,1928,53938,1016,7033,,0,,60971,,7033
1/19/21 15:00,age60to69,1674,40951,820,5133,,0,,46084,,5133
1/19/21 15:00,age70to79,4392,23548,326,1622,,0,,25170,,1622
1/19/21 15:00,age80plus,4234,19962,325,1978,,0,,21940,,1978
1/20/21 15:00,age10to19,90,1653,19,115,,0,,1768,,115
1/20/21 15:00,age20to29,1445,34294,761,4997,,0,,39291,,4997
1/20/21 15:00,age30to39,2020,52025,1088,8799,,0,,60824,,8799
1/20/21 15:00,age40to49,2077,51407,984,7866,,0,,59273,,7866
1/20/21 15:00,age50to59,2351,56289,1057,8090,,0,,64379,,8090
1/20/21 15:00,age60to69,2260,43211,738,5871,,0,,49082,,5871
1/20/21 15:00,age70to79,5602,29150,241,1863,,0,,31013,,1863
1/20/21 15:00,age80plus,5254,25216,211,2189,,0,,27405,,2189
1/21/21 15:00,age10to19,117,1770,11,126,,0,,1896,,126
1/21/21 15:00,age20to29,1842,36136,567,5564,,0,,41700,,5564
1/21/21 15:00,age30to39,2564,54589,748,9547,,0,,64136,,9547
1/21/21 15:00,age40to49,2579,53986,681,8547,,0,,62533,,8547
1/21/21 15:00,age50to59,2925,59214,738,8828,,0,,68042,,8828
1/21/21 15:00,age60to69,2554,45765,535,6406,,0,,52171,,6406
1/21/21 15:00,age70to79,5799,34949,153,2016,,0,,36965,,2016
1/21/21 15:00,age80plus,5255,30471,112,2301,,0,,32772,,2301
1/22/21 15:00,age10to19,98,1868,14,140,,0,,2008,,140
1/22/21 15:00,age20to29,2204,38340,365,5929,,0,,44269,,5929
1/22/21 15:00,age30to39,3442,58031,584,10131,,0,,68162,,10131
1/22/21 15:00,age40to49,3787,57773,576,9123,,0,,66896,,9123
1/22/21 15:00,age50to59,4089,63303,638,9466,,0,,72769,,9466
1/22/21 15:00,age60to69,3427,49192,510,6916,,0,,56108,,6916
1/22/21 15:00,age70to79,6468,41417,218,2234,,0,,43651,,2234
1/22/21 15:00,age80plus,5292,35763,421,2722,,0,,38485,,2722
1/23/21 15:00,age10to19,56,1924,4,144,,0,,2068,,144
1/23/21 15:00,age20to29,848,39188,181,6110,,0,,45298,,6110
1/23/21 15:00,age30to39,1151,59182,288,10419,,0,,69601,,10419
1/23/21 15:00,age40to49,1137,58910,265,9388,,0,,68298,,9388
1/23/21 15:00,age50to59,1215,64518,312,9778,,0,,74296,,9778
1/23/21 15:00,age60to69,1081,50273,293,7209,,0,,57482,,7209
1/23/21 15:00,age70to79,2112,43529,155,2389,,0,,45918,,2389
1/23/21 15:00,age80plus,2398,38161,239,2961,,0,,41122,,2961
1/24/21 15:00,age10to19,42,1966,7,151,,0,,2117,,151
1/24/21 15:00,age20to29,196,39384,140,6250,,0,,45634,,6250
1/24/21 15:00,age30to39,264,59446,239,10658,,0,,70104,,10658
1/24/21 15:00,age40to49,288,59198,250,9638,,0,,68836,,9638
1/24/21 15:00,age50to59,372,64890,348,10126,,0,,75016,,10126
1/24/21 15:00,age60to69,395,50668,313,7522,,0,,58190,,7522
1/24/21 15:00,age70to79,721,44250,121,2510,,0,,46760,,2510
1/24/21 15:00,age80plus,1071,39232,166,3127,,0,,42359,,3127
1/25/21 15:00,age10to19,46,2012,38,189,,0,,2201,,189
1/25/21 15:00,age20to29,999,40383,884,7134,,0,,47517,,7134
1/25/21 15:00,age30to39,1572,61018,1576,12234,,0,,73252,,12234
1/25/21 15:00,age40to49,1685,60883,1588,11226,,0,,72109,,11226
1/25/21 15:00,age50to59,1731,66621,1843,11969,,0,,78590,,11969
1/25/21 15:00,age60to69,2659,53327,1403,8925,,0,,62252,,8925
1/25/21 15:00,age70to79,4714,48964,413,2923,,0,,51887,,2923
1/25/21 15:00,age80plus,3264,42496,440,3567,,0,,46063,,3567
1/26/21 15:00,age10to19,70,2082,44,233,,0,,2315,,233
1/26/21 15:00,age20to29,1138,41521,994,8128,,0,,49649,,8128
1/26/21 15:00,age30to39,1803,62821,1554,13788,,0,,76609,,13788
1/26/21 15:00,age40to49,1814,62697,1621,12847,,0,,75544,,12847
1/26/21 15:00,age50to59,1819,68440,1863,13832,,0,,82272,,13832
1/26/21 15:00,age60to69,3121,56448,1475,10400,,0,,66848,,10400
1/26/21 15:00,age70to79,4934,53898,606,3529,,0,,57427,,3529
1/26/21 15:00,age80plus,3215,45711,465,4032,,0,,49743,,4032
1/27/21 15:00,age10to19,73,2155,69,302,,0,,2457,,302
1/27/21 15:00,age20to29,1367,42888,1472,9600,,0,,52488,,9600
1/27/21 15:00,age30to39,2202,65023,2412,16200,,0,,81223,,16200
1/27/21 15:00,age40to49,2318,65015,2464,15311,,0,,80326,,15311
1/27/21 15:00,age50to59,2481,70921,2643,16475,,0,,87396,,16475
1/27/21 15:00,age60to69,3938,60386,1886,12286,,0,,72672,,12286
1/27/21 15:00,age70to79,7459,61357,676,4205,,0,,65562,,4205
1/27/21 15:00,age80plus,5119,50830,597,4629,,0,,55459,,4629
1/28/21 15:00,age10to19,91,2246,47,349,,0,,2595,,349
1/28/21 15:00,age20to29,1204,44092,1237,10837,,0,,54929,,10837
1/28/21 15:00,age30to39,2112,67135,1791,17991,,0,,85126,,17991
1/28/21 15:00,age40to49,2360,67375,1670,16981,,0,,84356,,16981
1/28/21 15:00,age50to59,2537,73458,1995,18470,,0,,91928,,18470
1/28/21 15:00,age60to69,3828,64214,1498,13784,,0,,77998,,13784
1/28/21 15:00,age70to79,6762,68119,534,4739,,0,,72858,,4739
1/28/21 15:00,age80plus,4306,55136,282,4911,,0,,60047,,4911
1/29/21 15:00,age10to19,130,2376,67,416,,0,,2792,,416
1/29/21 15:00,age20to29,1299,45391,956,11793,,0,,57184,,11793
1/29/21 15:00,age30to39,2228,69363,1433,19424,,0,,88787,,19424
1/29/21 15:00,age40to49,2352,69727,1450,18431,,0,,88158,,18431
1/29/21 15:00,age50to59,2708,76166,1657,20127,,0,,96293,,20127
1/29/21 15:00,age60to69,4129,68343,1206,14990,,0,,83333,,14990
1/29/21 15:00,age70to79,7257,75376,414,5153,,0,,80529,,5153
1/29/21 15:00,age80plus,5316,60452,442,5353,,0,,65805,,5353
1/30/21 15:00,age10to19,76,2452,5,421,,0,,2873,,421
1/30/21 15:00,age20to29,1000,46391,422,12215,,0,,58606,,12215
1/30/21 15:00,age30to39,1552,70915,488,19912,,0,,90827,,19912
1/30/21 15:00,age40to49,1796,71523,397,18828,,0,,90351,,18828
1/30/21 15:00,age50to59,1900,78066,453,20580,,0,,98646,,20580
1/30/21 15:00,age60to69,2792,71135,326,15316,,0,,86451,,15316
1/30/21 15:00,age70to79,5449,80825,159,5312,,0,,86137,,5312
1/30/21 15:00,age80plus,3751,64203,126,5479,,0,,69682,,5479
1/31/21 15:00,age10to19,34,2486,10,431,,0,,2917,,431
1/31/21 15:00,age20to29,278,46669,78,12293,,0,,58962,,12293
1/31/21 15:00,age30to39,507,71422,141,20053,,0,,91475,,20053
1/31/21 15:00,age40to49,563,72086,188,19016,,0,,91102,,19016
1/31/21 15:00,age50to59,624,78690,236,20816,,0,,99506,,20816
1/31/21 15:00,age60to69,699,71834,201,15517,,0,,87351,,15517
1/31/21 15:00,age70to79,736,81561,147,5459,,0,,87020,,5459
1/31/21 15:00,age80plus,628,64831,239,5718,,0,,70549,,5718
2/1/21 15:00,age10to19,90,2576,17,448,,0,,3024,,448
2/1/21 15:00,age20to29,346,47015,485,12778,,0,,59793,,12778
2/1/21 15:00,age30to39,507,71929,723,20776,,0,,92705,,20776
2/1/21 15:00,age40to49,607,72693,833,19849,,0,,92542,,19849
2/1/21 15:00,age50to59,778,79468,988,21804,,0,,101272,,21804
2/1/21 15:00,age60to69,1247,73081,727,16244,,0,,89325,,16244
2/1/21 15:00,age70to79,1633,83194,394,5853,,0,,89047,,5853
2/1/21 15:00,age80plus,1872,66703,420,6138,,0,,72841,,6138
2/2/21 15:00,age10to19,100,2676,82,530,,0,,3206,,530
